date,cheveux,age,exp,salaire,sexe,diplome,specialite,note,dispo,embauche
07/09/2014,blond,34.0,15.0,36295.0,M,licence,geologie,81.06,oui,0
28/04/2012,chatain,25.0,9.0,34640.0,F,master,detective,73.96,non,0
29/09/2013,chatain,24.0,9.0,44710.0,M,bac,geologie,29.97,non,0
11/12/2014,brun,16.0,7.0,29858.0,M,master,geologie,76.18,non,0
27/12/2014,brun,36.0,8.0,36653.0,F,licence,detective,74.47,non,0
18/02/2010,chatain,43.0,5.0,42337.0,F,licence,detective,57.33,non,1
07/06/2014,chatain,38.0,11.0,39854.0,F,doctorat,archeologie,73.22,oui,0
18/03/2011,blond,37.0,9.0,32154.0,F,master,forage,102.95,oui,0
03/08/2010,chatain,26.0,10.0,36792.0,F,doctorat,detective,99.05,oui,0
03/07/2011,chatain,25.0,8.0,25575.0,M,doctorat,geologie,108.81,oui,0
10/01/2014,roux,29.0,9.0,34962.0,M,bac,geologie,36.92,non,0
23/05/2010,blond,48.0,14.0,41311.0,F,licence,geologie,77.58,non,1
18/07/2012,chatain,47.0,10.0,32617.0,F,master,detective,84.29,non,0
17/03/2013,chatain,53.0,11.0,36032.0,M,doctorat,detective,92.16,oui,0
13/12/2010,brun,48.0,5.0,39932.0,F,licence,detective,65.51,non,1
27/11/2014,chatain,33.0,15.0,32322.0,F,doctorat,geologie,103.35,oui,0
24/06/2014,roux,36.0,14.0,38843.0,M,licence,detective,68.82,oui,0
01/01/2011,brun,23.0,6.0,40244.0,F,master,archeologie,93.1,oui,0
05/04/2010,chatain,,9.0,40992.0,F,master,archeologie,79.33,oui,0
03/11/2010,brun,25.0,11.0,25405.0,F,doctorat,detective,81.24,non,0
12/06/2013,brun,20.0,8.0,40900.0,M,licence,geologie,61.91,non,0
02/08/2014,chatain,41.0,7.0,22335.0,M,doctorat,geologie,83.08,non,0
03/09/2011,blond,31.0,16.0,35113.0,M,master,geologie,101.14,,1
22/06/2012,blond,23.0,7.0,30188.0,F,licence,geologie,85.0,non,0
08/03/2012,blond,22.0,12.0,41807.0,M,bac,geologie,69.08,non,0
17/05/2014,brun,40.0,11.0,33787.0,M,doctorat,forage,95.77,oui,0
30/05/2011,blond,54.0,7.0,35396.0,M,bac,geologie,48.69,non,0
20/04/2013,blond,35.0,9.0,30580.0,F,licence,geologie,94.24,non,0
04/01/2012,chatain,46.0,6.0,42796.0,M,master,archeologie,80.75,oui,0
20/12/2013,blond,29.0,8.0,39117.0,F,bac,geologie,56.36,non,0
05/10/2010,chatain,45.0,10.0,32069.0,F,master,geologie,66.3,non,0
11/06/2011,brun,42.0,5.0,42833.0,M,licence,geologie,67.16,non,0
09/05/2012,brun,29.0,7.0,42383.0,M,licence,forage,66.07,oui,0
15/02/2012,brun,26.0,8.0,28401.0,F,doctorat,detective,85.1,oui,0
13/12/2014,brun,61.0,9.0,32275.0,M,master,geologie,91.66,non,0
14/01/2012,chatain,22.0,15.0,27395.0,F,master,forage,87.07,non,0
13/09/2014,blond,33.0,12.0,38843.0,M,bac,geologie,64.6,non,0
31/01/2012,blond,35.0,8.0,43587.0,M,licence,geologie,47.01,oui,0
11/10/2014,blond,26.0,10.0,33852.0,F,bac,geologie,75.27,non,0
21/02/2012,brun,37.0,11.0,34451.0,F,licence,geologie,76.2,non,0
17/04/2012,chatain,31.0,9.0,25740.0,F,doctorat,forage,97.07,non,0
23/06/2013,roux,46.0,7.0,35899.0,M,licence,geologie,66.5,non,0
13/10/2012,blond,35.0,14.0,31201.0,M,licence,geologie,87.35,non,0
17/05/2013,blond,44.0,11.0,35865.0,M,master,geologie,82.39,oui,1
26/06/2014,blond,21.0,14.0,33632.0,M,licence,geologie,,non,0
30/10/2013,chatain,36.0,10.0,31450.0,F,master,detective,89.11,oui,0
30/10/2012,roux,37.0,12.0,27789.0,M,,geologie,81.83,non,0
24/11/2012,blond,30.0,3.0,34821.0,M,master,geologie,81.13,oui,0
12/08/2012,blond,39.0,14.0,39782.0,M,master,archeologie,54.71,oui,0
17/11/2013,brun,41.0,6.0,32184.0,M,doctorat,forage,91.68,oui,0
23/08/2010,chatain,38.0,11.0,39178.0,M,master,geologie,64.62,oui,0
23/10/2013,brun,45.0,3.0,36206.0,F,licence,geologie,73.93,non,0
20/01/2010,blond,23.0,9.0,28975.0,M,master,geologie,73.4,non,0
22/10/2011,chatain,35.0,3.0,31214.0,F,doctorat,forage,87.67,oui,0
14/03/2014,chatain,25.0,6.0,31112.0,M,doctorat,forage,87.69,oui,0
22/06/2011,brun,56.0,10.0,33522.0,M,doctorat,geologie,106.21,oui,0
03/12/2012,brun,46.0,10.0,29724.0,F,master,geologie,75.23,non,0
01/11/2012,roux,19.0,11.0,29818.0,M,bac,geologie,89.99,non,0
12/07/2012,blond,47.0,8.0,41011.0,M,bac,detective,51.12,non,0
29/02/2012,roux,28.0,7.0,40274.0,M,bac,geologie,36.17,non,0
24/09/2012,chatain,25.0,11.0,40667.0,M,master,geologie,59.06,non,0
27/01/2011,brun,31.0,15.0,27918.0,F,licence,forage,88.57,non,0
30/07/2013,chatain,40.0,6.0,27185.0,F,doctorat,detective,115.42,oui,0
18/09/2013,chatain,30.0,8.0,31390.0,F,licence,archeologie,65.38,non,1
24/09/2014,chatain,42.0,7.0,31662.0,F,master,forage,82.17,non,0
13/06/2010,brun,48.0,13.0,34549.0,M,master,geologie,79.02,oui,0
05/12/2014,blond,39.0,10.0,31230.0,F,licence,geologie,95.83,non,0
31/08/2012,chatain, ,9.0,34463.0,F,master,geologie,51.43,non,1
04/06/2014,blond,36.0,6.0,38938.0,M,licence,geologie,89.26,oui,1
29/12/2010,roux,35.0,3.0,30140.0,M,master,forage,71.31,oui,0
20/05/2010,blond,46.0,10.0,40090.0,M,master,archeologie,94.77,oui,0
09/12/2010,brun,14.0,13.0,34851.0,F,master,forage,74.46,non,0
25/07/2010,chatain,26.0,9.0,38029.0,M,master,geologie,63.48,non,0
22/08/2010,roux,50.0,9.0,19925.0,F,master,geologie,118.62,non,0
04/04/2013,chatain,34.0,6.0,50575.0,M,bac,geologie,27.09,non,0
05/05/2013,blond,50.0,14.0,37151.0,M,licence,forage,71.5,oui,0
08/03/2011,blond,44.0,8.0,38498.0,M,bac,detective,44.03,non,0
31/03/2012,roux,32.0,9.0,24340.0,M,licence,geologie,89.87,non,0
09/06/2011,brun,34.0,13.0,35201.0,F,licence,geologie,75.3,non,0
09/11/2012,roux,46.0,9.0,35296.0,M,bac,detective,65.37,non,0
19/09/2013,roux,36.0,9.0,38650.0,M,bac,geologie,40.65,non,0
19/02/2010,brun,28.0,11.0,33974.0,M,master,geologie,73.38,non,0
28/09/2011,blond,55.0,7.0,26237.0,M,master,geologie,78.58,non,0
27/04/2013,brun,32.0,11.0,36192.0,M,master,geologie,74.06,non,1
14/12/2012,brun,30.0,6.0,25036.0,F,master,forage,69.38,non,0
16/11/2013,chatain,28.0,8.0,34022.0,F,doctorat,geologie,109.51,oui,0
20/03/2012,brun,48.0,14.0,34885.0,F,licence,geologie,58.73,non,0
28/08/2012,brun,34.0,7.0,30707.0,F,licence,forage,86.99,non,0
15/11/2013,roux,25.0,8.0,29581.0,M,licence,detective,86.95,oui,0
13/10/2013,chatain,41.0,12.0,39633.0,M,master,forage,82.86,oui,0
16/10/2013,blond,33.0,5.0,33748.0,M,bac,geologie,49.26,non,0
30/08/2013,blond,33.0,9.0,37206.0,M,licence,geologie,60.48,non,0
01/02/2012,brun,52.0,7.0,45676.0,M,licence,geologie,55.08,non,0
01/07/2010,chatain,39.0,12.0,35233.0,F,master,detective,89.98,oui,0
16/01/2012,brun,28.0,13.0,33426.0,M,master,detective,54.68,oui,0
17/05/2010,blond,26.0,6.0,38102.0,M,licence,detective,65.54,oui,0
18/03/2014,brun,,3.0,30439.0,M,doctorat,geologie,102.43,oui,1
29/09/2011,blond,33.0,15.0,43145.0,F,bac,geologie,45.39,non,0
29/04/2011,roux,30.0,6.0,39937.0,M,bac,geologie,42.35,non,0
11/11/2014,chatain,29.0,10.0,41452.0,F,licence,detective,72.0,oui,0
25/06/2011,brun,41.0,11.0,30203.0,F,doctorat,archeologie,81.81,oui,0
25/04/2011,blond,65.0,10.0,38355.0,F,licence,archeologie,66.45,oui,0
20/04/2012,chatain,29.0,8.0,31661.0,F,master,geologie,77.21,non,1
26/03/2011,blond,42.0,9.0,34427.0,M,master,geologie,87.08,oui,1
02/02/2010,blond,46.0,10.0,44708.0,M,bac,forage,50.04,non,0
01/01/2013,brun,33.0,10.0,37521.0,M,master,geologie,70.78,non,0
23/10/2014,chatain,41.0,8.0,36027.0,M,doctorat,forage,87.89,oui,0
02/04/2014,chatain,41.0,12.0,44648.0,M,,geologie,83.16,oui,0
02/08/2013,blond,41.0,9.0,37380.0,M,licence,geologie,46.17,non,0
27/08/2013,chatain,31.0,6.0,40260.0,M,doctorat,geologie,68.36,oui,0
15/05/2011,blond,35.0,10.0,35035.0,M,master,geologie,78.59,oui,0
28/06/2013,chatain,25.0,6.0,24888.0,M,doctorat,geologie,103.27,oui,0
15/08/2014,brun,27.0,2.0,36849.0,F,master,archeologie,63.62,oui,0
09/04/2013,brun,55.0,11.0,32093.0,F,master,geologie,66.47,non,1
04/10/2014,roux,46.0,8.0,30537.0,M,master,geologie,99.88,oui,0
15/02/2010,brun,27.0,10.0,44654.0,M,licence,geologie,54.79,non,0
22/10/2013,blond,39.0,6.0,30319.0,M,master,forage,82.99,non,0
11/01/2013,brun,47.0,9.0,41592.0,M,licence,detective,51.26,oui,0
03/03/2012,brun,25.0,10.0,44516.0,M,licence,geologie,30.1,non,0
01/01/2011,brun,26.0,8.0,35192.0,M,master,geologie,78.6,oui,1
05/12/2010,chatain,35.0,14.0,45383.0,M,master,geologie,41.2,non,0
08/04/2013,blond,33.0,8.0,34016.0,M,licence,geologie,87.76,non,0
23/01/2011,brun,30.0,11.0,38777.0,F,master,archeologie,89.77,oui,0
18/02/2011,brun,10.0,9.0,38767.0,F,master,archeologie,89.16,oui,0
23/10/2010,blond,41.0,13.0,29822.0,M,,detective,106.89,oui,0
29/10/2014,chatain,41.0,11.0,38688.0,M,master,detective,53.96,oui,0
28/10/2010,blond,44.0,6.0,39636.0,M,licence,forage,81.14,oui,0
13/08/2013,chatain,37.0,8.0,41845.0,M,master,detective,68.81,oui,0
25/11/2014,brun,24.0,8.0,45464.0,M,bac,geologie,62.18,non,0
08/01/2014,chatain,28.0,7.0,26192.0,F,master,geologie,43.64,non,1
28/05/2010,blond,32.0,10.0,34404.0,M,licence,geologie,84.44,oui,0
28/11/2013,chatain,49.0,9.0,36429.0,M,doctorat,geologie,77.48,oui,0
08/10/2011,brun,29.0,9.0,33647.0,M,master,forage,79.82,oui,0
31/01/2013,blond,24.0,8.0,34635.0,M,licence,geologie,,non,0
12/05/2013,chatain,39.0,5.0,36062.0,F,master,detective,92.76,oui,0
10/06/2011,roux,41.0,6.0,27529.0,M,bac,geologie,63.09,non,0
28/12/2014,chatain,51.0,8.0,38787.0,M,master,geologie,83.2,oui,0
05/10/2013,brun,19.0,11.0,34944.0,M,master,geologie,74.52,oui,0
01/11/2010,blond,39.0,8.0,32764.0,M,master,forage,68.91,oui,0
02/02/2010,chatain,35.0,11.0,40120.0,M,master,detective,,oui,0
12/08/2014,chatain,27.0,13.0,37183.0,F,master,forage,87.08,oui,0
19/05/2013,blond,48.0,8.0,38887.0,M,bac,geologie,56.84,non,0
14/04/2014,chatain,44.0,12.0,37808.0,M,master,forage,85.26,oui,0
29/07/2014,brun,41.0,9.0,38068.0,F,licence,geologie,85.13,non,0
03/12/2011,chatain,27.0,8.0,32194.0,F,doctorat,geologie,90.37,oui,0
25/06/2012,chatain,30.0,9.0,33557.0,M,master,geologie,65.9,non,0
23/01/2013,blond,26.0,10.0,30687.0,F,bac,geologie,78.85,non,0
30/12/2014,roux,30.0,7.0,32580.0,M,bac,detective,37.53,non,0
25/04/2011,brun,55.0,10.0,29393.0,F,master,forage,77.14,non,0
16/10/2011,chatain,16.0,9.0,38461.0,F,licence,detective,74.7,non,0
,blond,37.0,3.0,32211.0,M,master,geologie,84.25,non,0
14/11/2011,chatain,46.0,11.0,26418.0,M,master,geologie,60.8,non,1
30/05/2014,brun,20.0,11.0,37208.0,M,licence,geologie,66.9,non,1
15/06/2010,brun,17.0,7.0,37927.0,M,licence,geologie,65.19,oui,0
02/09/2013,roux,35.0,8.0,45084.0,F,bac,geologie,55.83,non,0
02/02/2012,brun,33.0,6.0,35049.0,F,licence,detective,64.77,non,0
02/04/2011,chatain,41.0,10.0,39570.0,M,doctorat,detective,67.14,oui,0
29/12/2010,blond,35.0,11.0,31954.0,F,licence,forage,92.75,non,0
03/02/2010,brun,47.0,13.0,33428.0,F,master,forage,73.71,non,0
01/03/2010,chatain,35.0,15.0,44976.0,M,doctorat,geologie,83.02,oui,0
20/12/2010,brun,30.0,9.0,35411.0,F,master,forage,87.32,oui,0
08/05/2012,chatain,53.0,9.0,34831.0,M,doctorat,geologie,86.12,oui,0
17/12/2010,blond,37.0,10.0,39375.0,M,bac,geologie,35.95,non,0
04/02/2014,blond,47.0,15.0,29103.0,M,master,geologie,83.82,non,0
20/04/2010,chatain,30.0,12.0,37408.0,F,licence,geologie,56.41,non,0
30/08/2011,chatain,23.0,12.0,42563.0,M,master,detective,76.64,oui,0
24/04/2012,brun,23.0,13.0,33267.0,F,master,geologie,85.68,non,0
12/03/2012,chatain,19.0,6.0,33842.0,F,doctorat,archeologie,100.69,oui,0
05/01/2012,roux,30.0,7.0,32363.0,F,bac,detective,79.79,non,0
01/04/2014,chatain,16.0,13.0,38540.0,F,master,detective,86.07,oui,0
09/05/2014,brun,12.0,10.0,31557.0,F,master,detective,115.51,oui,1
25/01/2011,blond,29.0,5.0,34391.0,F,licence,forage,71.15,non,0
23/05/2013,brun,35.0,4.0,41347.0,M,licence,geologie,61.99,non,0
22/11/2011,blond,23.0,12.0,31454.0,M,master,geologie,79.23,non,0
04/10/2011,brun,42.0,10.0,25871.0,F,doctorat,forage,118.8,non,0
08/08/2014,brun,40.0,5.0,35550.0,M,master,geologie,73.93,non,0
05/10/2012,brun,33.0,7.0,29077.0,F,master,geologie,66.57,non,1
20/12/2013,blond,37.0,10.0,41834.0,F,bac,archeologie,94.06,oui,1
08/09/2010,roux,14.0,9.0,32178.0,F,licence,detective,95.47,oui,0
05/03/2014,brun,27.0,10.0,24244.0,F,master,geologie,105.13,non,0
09/03/2010,blond,35.0,10.0,32668.0,M,licence,geologie,47.54,non,0
08/10/2010,blond,35.0,9.0,28240.0,M,doctorat,geologie,69.69,oui,0
11/10/2010,blond,47.0,9.0,30746.0,F,bac,geologie,60.95,non,0
21/01/2010,brun,29.0,8.0,35566.0,M,licence,geologie,52.24,non,0
08/11/2010,chatain,25.0,12.0,39166.0,F,licence,detective,62.34,non,0
06/05/2012,chatain,29.0,9.0,36993.0,M,licence,geologie,51.39,non,0
21/10/2013,brun,47.0,9.0,37292.0,M,licence,geologie,43.92,non,0
20/03/2010,brun,31.0,10.0,34735.0,M,licence,geologie,73.37,non,0
27/05/2013,brun,37.0,12.0,40393.0,M,licence,geologie,54.47,non,0
27/01/2012,roux,46.0,17.0,30162.0,F,licence,detective,76.04,non,0
25/08/2013,chatain,13.0,17.0,29115.0,F,doctorat,geologie,103.68,non,0
04/06/2011,brun,47.0,11.0,39773.0,M,master,geologie,79.24,oui,1
22/09/2012,brun,22.0,11.0,37137.0,M,licence,geologie,41.03,non,0
02/05/2013,chatain,30.0,11.0,26832.0,F,master,geologie,90.87,non,0
24/12/2014,brun,25.0,15.0,28404.0,F,doctorat,detective,95.05,oui,0
11/04/2010,blond,47.0,6.0,31637.0,M,master,forage,82.33,non,1
03/09/2011,chatain,21.0,4.0,29451.0,F,master,geologie,93.78,non,0
02/11/2012,chatain,35.0,9.0,42252.0,M,licence,geologie,40.01,non,0
11/12/2013,blond,27.0,11.0,29881.0,M,licence,geologie,62.57,non,0
03/03/2012,chatain,21.0,13.0,42108.0,M,master,forage,57.88,oui,0
18/11/2011,chatain,40.0,9.0,25242.0,F,doctorat,forage,91.19,non,0
21/07/2011,brun,46.0,13.0,43821.0,,licence,forage,74.31,non,0
17/11/2010,chatain,36.0,9.0,37932.0,M,master,geologie,65.23,non,0
03/01/2013,blond,33.0,8.0,31382.0,M,master,geologie,92.23,oui,0
26/11/2011,chatain,41.0,14.0,39442.0,F,master,detective,77.5,oui,0
03/02/2012,brun,29.0,10.0,33578.0,M,master,geologie,77.51,non,1
09/12/2013,brun,43.0,14.0,30087.0,M,master,forage,74.56,non,1
19/04/2012,brun,37.0,14.0,38409.0,M,licence,geologie,67.24,non,0
04/03/2012,chatain,33.0,14.0,31308.0,M,master,geologie,59.07,non,1
24/01/2010,brun,35.0,5.0,34569.0,F,master,forage,66.78,non,1
13/03/2011,chatain,35.0,11.0,29068.0,F,doctorat,archeologie,117.36,oui,0
11/08/2013,brun,36.0,11.0,35686.0,F,licence,geologie,76.26,non,0
25/06/2014,blond,35.0,10.0,31894.0,M,doctorat,geologie,87.71,oui,1
18/08/2011,brun,33.0,8.0,38218.0,F,licence,geologie,49.78,non,0
07/01/2014,blond,30.0,12.0,33725.0,M,master,geologie,71.22,non,0
08/08/2010,blond,24.0,13.0,29919.0,M,master,geologie,80.52,non,0
09/10/2014,chatain,50.0,8.0,43433.0,M,licence,geologie,54.27,non,0
10/01/2011,chatain,8.0,10.0,44530.0,F,licence,archeologie,70.58,oui,0
19/10/2014,blond,35.0,14.0,35476.0,M,master,geologie,93.38,oui,1
22/10/2011,brun,15.0,11.0,40196.0,F,licence,archeologie,63.51,oui,1
24/03/2011,roux,29.0,6.0,35897.0,M,licence,detective,85.07,oui,0
22/06/2013,chatain,43.0,10.0,42208.0,M,master,detective,76.3,oui,0
16/10/2011,blond,57.0,3.0,33236.0,F,licence,detective,83.52,non,0
08/08/2010,chatain,39.0,11.0,32664.0,F,master,detective,76.07,oui,0
14/05/2012,blond,26.0,8.0,42966.0,M,master,detective,70.59,oui,0
28/04/2013,brun,32.0,3.0,32460.0,M,master,geologie,64.21,non,0
29/06/2013,blond,28.0,12.0,31146.0,M,doctorat,geologie,96.55,oui,1
09/04/2012,chatain,32.0,11.0,33625.0,F,master,geologie,56.08,non,1
08/04/2012,chatain,37.0,9.0,36413.0,M,doctorat,,69.59,oui,1
16/07/2012,roux,13.0,7.0,30800.0,F,bac,detective,46.97,non,0
11/07/2012,blond,40.0,12.0,31244.0,M,master,detective,58.75,non,0
12/09/2010,chatain,34.0,13.0,31142.0,F,doctorat,forage,76.68,oui,0
06/07/2013,chatain,36.0,9.0,38686.0,M,doctorat,detective,57.57,oui,0
18/12/2010,blond,44.0,7.0,33738.0,M,master,forage,68.11,oui,0
25/08/2013,chatain,34.0,7.0,31286.0,F,master,forage,99.53,non,0
23/08/2014,blond,23.0,9.0,30705.0,F,master,geologie,87.8,non,0
22/07/2011,brun,39.0,5.0,33650.0,M,licence,geologie,60.95,non,0
20/09/2011,brun,62.0,8.0,42190.0,M,licence,geologie,65.17,non,0
02/07/2010,chatain,38.0,13.0,38698.0,F,licence,forage,59.3,non,0
17/01/2013,chatain,31.0,9.0,28697.0,F,master,forage,82.09,non,0
30/07/2010,blond,37.0,13.0,,M,licence,geologie,69.01,oui,0
19/01/2014,brun,40.0,14.0,21970.0,F,doctorat,forage,105.2,non,0
09/05/2013,brun,30.0,0.0,32969.0,M,doctorat,forage,96.81,oui,0
19/07/2014,,25.0,9.0,32263.0,M,master,forage,66.13,oui,0
27/03/2011,brun,32.0,13.0,40195.0,M,licence,geologie,74.4,non,0
14/05/2010,chatain,26.0,7.0,39181.0,M,master,geologie,51.94,non,0
07/03/2011,brun,39.0,10.0,29217.0,M,master,geologie,79.76,non,0
22/11/2013,chatain,24.0,8.0,28746.0,F,doctorat,forage,118.65,oui,0
09/09/2012,blond,23.0,8.0,31161.0,F,licence,archeologie,112.09,non,0
19/05/2012,chatain,14.0,7.0,41795.0,M,master,forage,73.74,oui,0
06/07/2013,blond,17.0,10.0,35119.0,M,bac,archeologie,89.62,non,1
18/10/2011,brun,38.0,9.0,29292.0,F,master,geologie,72.3,non,0
21/06/2014,brun,38.0,8.0,41286.0,M,licence,geologie,85.17,oui,0
21/05/2011,brun,38.0,13.0,36354.0,F,master,archeologie,88.78,oui,0
08/05/2010,chatain,18.0,8.0,30258.0,F,doctorat,archeologie,106.09,oui,0
18/02/2013,roux,8.0,16.0,25825.0,F,master,archeologie,92.35,oui,0
06/08/2011,blond,27.0,11.0,32564.0,M,licence,geologie,59.71,non,0
07/07/2010,brun,32.0,12.0,33685.0,F,master,detective,75.99,oui,0
,roux,57.0,12.0,32048.0,M,licence,geologie,99.55,oui,0
25/06/2014,blond,30.0,10.0,42526.0,F,licence,detective,105.36,oui,0
10/04/2010,chatain,45.0,11.0,28387.0,F,doctorat,detective,100.44,oui,0
16/10/2011,chatain,42.0,10.0,34787.0,F,master,forage,84.58,oui,0
27/07/2012,chatain,20.0,8.0,36256.0,F,master,forage,62.37,non,0
09/06/2014,blond,33.0,12.0,34599.0,M,licence,geologie,80.7,non,0
24/09/2011,chatain,39.0,10.0,33053.0,F,doctorat,detective,97.03,oui,0
29/12/2013,brun,35.0,10.0,36679.0,F,master,detective,90.24,oui,0
19/02/2011,roux,32.0,9.0,30236.0,F,bac,detective,72.04,non,0
29/05/2014,blond,30.0,9.0,40385.0,M,licence,geologie,60.05,non,0
19/03/2012,brun,23.0,3.0,34484.0,F,licence,forage,,non,0
27/05/2011,chatain,38.0,9.0,35703.0,F,master,geologie,77.91,non,0
15/11/2012,blond,39.0,6.0,41713.0,F,licence,archeologie,74.06,oui,0
25/03/2012,brun,43.0,10.0,28210.0,F,master,forage,87.16,non,1
19/01/2014,chatain,58.0,6.0,28949.0,F,doctorat,detective,71.12,oui,0
27/01/2014,brun,27.0,12.0,37321.0,M,licence,geologie,52.47,non,0
31/12/2013,brun,34.0,12.0,36973.0,M,master,geologie,64.16,oui,0
10/10/2013,chatain,17.0,13.0,28468.0,M,master,geologie,66.88,non,0
26/11/2013,roux,44.0,7.0,31314.0,M,bac,geologie,42.98,non,0
30/05/2014,chatain,43.0,6.0,33733.0,F,master,forage,100.38,oui,0
22/11/2013,chatain,30.0,10.0,30967.0,M,master,geologie,52.14,non,0
22/02/2013,blond,34.0,4.0,29647.0,F,licence,geologie,66.32,non,0
18/11/2012,brun,33.0,3.0,31457.0,M,master,detective,69.11,oui,0
19/01/2010,blond,23.0,10.0,38541.0,M,licence,geologie,36.16,non,0
09/12/2013,chatain,29.0,8.0,32547.0,M,doctorat,geologie,95.79,oui,0
24/06/2014,blond,29.0,6.0,33643.0,M,licence,geologie,52.4,non,0
13/03/2011,chatain,35.0,9.0,34181.0,M,master,detective,51.57,non,0
04/03/2014,blond,18.0,5.0,31315.0,M,master,geologie,85.04,oui,0
24/04/2011,brun,53.0,7.0,37532.0,M,licence,geologie,67.54,non,0
29/10/2010,brun,35.0,9.0,33433.0,M,master,geologie,69.15,non,0
17/05/2012,chatain,27.0,12.0,29139.0,F,doctorat,forage,89.46,non,0
07/12/2010,brun,37.0,9.0,37749.0,F,licence,detective,68.66,non,1
23/09/2010,chatain,42.0,10.0,42988.0,F,licence,forage,58.31,non,0
21/10/2010,blond,35.0,12.0,33491.0,M,master,forage,88.66,oui,0
05/12/2010,chatain,39.0,12.0,33382.0,M,master,geologie,64.99,non,0
27/07/2012,chatain,27.0,9.0,37421.0,M,doctorat,geologie,73.93,,0
08/10/2010,blond,50.0,9.0,28185.0,M,licence,geologie,82.18,non,0
01/02/2014,blond,42.0,8.0,37962.0,M,licence,archeologie,61.0,oui,0
27/04/2012,blond,44.0,10.0,37718.0,F,licence,detective,81.42,oui,0
18/10/2010,blond,35.0,10.0,40921.0,M,licence,geologie,74.01,oui,0
18/06/2010,brun,51.0,10.0,36358.0,F,master,archeologie,62.22,oui,0
19/05/2014,chatain,41.0,7.0,36721.0,F,master,archeologie,,oui,0
15/01/2013,blond,24.0,10.0,35829.0,M,licence,geologie,61.67,non,0
18/05/2013,brun,41.0,15.0,34431.0,F,licence,geologie,95.75,non,0
18/02/2011,blond,43.0,8.0,38619.0,M,licence,archeologie,68.4,oui,0
28/06/2014,chatain,31.0,6.0,28308.0,F,doctorat,archeologie,108.62,oui,1
17/02/2011,blond,17.0,12.0,34770.0,M,master,archeologie,103.3,oui,0
